fldgrpcd,mean_annual_growth_carbon_tons_per_ac_pct,s_multiplier
100,0.0239114789130551,0.0235495734225112
120,0.0233201912303086,0.0229672686836519
140,0.0478817852273262,0.0471543141548008
150,0,0
160,0.0615747609195428,0.0606372534929397
170,0.0394562337987775,0.0388575688873512
180,0.0219283153745348,0.0215965317759829
200,0.0301868857247206,0.0297295394923483
220,0.0164461156602408,0.0161975009377777
240,0.0131322930781632,0.0129338803736294
260,0.0151773939284767,0.0149480057675781
280,0.0150797475783146,0.0148518388514305
300,0.0192771638538684,0.0189856183480681
320,0.0180022538022237,0.0177300462079019
340,0.0210900739351522,0.0207710165057763
360,0.0123292391601663,0.0121429840475677
370,0.0161958927928068,0.0159510706393598
380,0.0339458381670993,0.0334312328873219
390,0.0404197689475191,0.0398063908146444
400,0.0314764959421892,0.0309995130412044
500,0.0248741237157822,0.0244975899516028
600,0.0255158962170124,0.0251296076477675
700,0.0278532545751989,0.0274314219095751
800,0.0213964201545705,0.0210727121759765
900,0.0280913285945356,0.0276658740763017
910,0.0291072104081315,0.0286662980871827
920,0.0127253145419769,0.0125330635613145
940,0.0185070990230012,0.0182272348517318
960,0.0173581361416286,0.0170956955547298
970,0.0145653042454128,0.0143451890488445
980,0.00664637961076339,0.00654606774741781
990,0.0317666138459407,0.0312852122763034
999,0.00101496251710182,0.000999658219130607
